,source,interaction,target,directed,pmid,ndex:citation
98,Cbp/p300,neighbor-of,EP300,,"""10825196,10958685,17440046""","""pmid:10825196,pmid:10958685,pmid:17440046"""
99,Cbp/p300,in-complex-with,GCR,,,
100,Cbp/p300,in-complex-with,HDAC2,,,
101,Cbp/p300,controls-expression-of,K1C14,true,"""10825196""","""pmid:10825196"""
102,Cbp/p300,neighbor-of,K1C14,,"""10825196""","""pmid:10825196"""
103,Cbp/p300,in-complex-with,NFKB1,,,
104,Cbp/p300,controls-expression-of,SGK1,true,"""17440046""","""pmid:17440046"""
105,Cbp/p300,neighbor-of,SGK1,,"""17440046""","""pmid:17440046"""
106,Cbp/p300,neighbor-of,SMCA4,,"""17440046""","""pmid:17440046"""
107,Cbp/p300,neighbor-of,SMRC1,,"""17440046""","""pmid:17440046"""
108,Cbp/p300,neighbor-of,SMRC2,,"""17440046""","""pmid:17440046"""
109,Cbp/p300,neighbor-of,SMRD1,,"""17440046""","""pmid:17440046"""
110,Cbp/p300,in-complex-with,TF65,,,
111,EGR1,neighbor-of,GCR,,"""15834420""","""pmid:15834420"""
112,EP300,controls-expression-of,CSF2,true,"""10958685""","""pmid:10958685"""
113,EP300,in-complex-with,GCR,,,
114,EP300,in-complex-with,HDAC2,,,
115,EP300,controls-expression-of,K1C14,true,"""10825196""","""pmid:10825196"""
116,EP300,neighbor-of,K1C14,,"""10825196""","""pmid:10825196"""
117,EP300,in-complex-with,NFKB1,,,
118,EP300,controls-expression-of,SGK1,true,"""17440046""","""pmid:17440046"""
119,EP300,neighbor-of,SGK1,,"""17440046""","""pmid:17440046"""
120,EP300,neighbor-of,SMCA4,,"""17440046""","""pmid:17440046"""
121,EP300,neighbor-of,SMRC1,,"""17440046""","""pmid:17440046"""
122,EP300,neighbor-of,SMRC2,,"""17440046""","""pmid:17440046"""
123,EP300,neighbor-of,SMRD1,,"""17440046""","""pmid:17440046"""
124,EP300,in-complex-with,TF65,,,
125,FCG2A,neighbor-of,GCR,,"""10820245""","""pmid:10820245"""
126,FCG2A,neighbor-of,SPI1,,"""10820245""","""pmid:10820245"""
127,FETA,neighbor-of,GCR,,"""1708774""","""pmid:1708774"""
128,FETA,neighbor-of,JUN,,"""1708774""","""pmid:1708774"""
129,FIBG,neighbor-of,GCR,,"""9388192""","""pmid:9388192"""
130,FKBP4,neighbor-of,FKBP5,,"""11751894,8898375""","""pmid:11751894,pmid:8898375"""
131,FKBP4,in-complex-with,GCR,,,
132,FKBP4,in-complex-with,HS90A,,,
133,FKBP5,in-complex-with,GCR,,,
134,FKBP5,in-complex-with,HS90A,,,
135,FKBP5,in-complex-with,PPP5,,,
136,FOS,neighbor-of,GATA3,,"""15826950""","""pmid:15826950"""
137,FOS,in-complex-with,GCR,,,
138,FOS,neighbor-of,HDAC1,,"""15826950""","""pmid:15826950"""
139,FOS,controls-expression-of,IFNG,true,"""7759501""","""pmid:7759501"""
140,FOS,neighbor-of,IFNG,,"""7759501""","""pmid:7759501"""
141,FOS,controls-expression-of,IL13,true,"""15826950""","""pmid:15826950"""
142,FOS,neighbor-of,IL13,,"""15826950""","""pmid:15826950"""
143,FOS,controls-expression-of,IL2,true,"""1740658""","""pmid:1740658"""
144,FOS,neighbor-of,IL2,,"""1740658""","""pmid:1740658"""
145,FOS,controls-expression-of,IL5,true,"""15826950""","""pmid:15826950"""
146,FOS,neighbor-of,IL5,,"""15826950""","""pmid:15826950"""
147,FOS,in-complex-with,JUN,,,
148,FOS,controls-expression-of,K1C17,true,"""10825196""","""pmid:10825196"""
149,FOS,neighbor-of,K1C17,,"""10825196""","""pmid:10825196"""
150,FOS,controls-expression-of,K2C5,true,"""10825196""","""pmid:10825196"""
151,FOS,neighbor-of,K2C5,,"""10825196""","""pmid:10825196"""
152,FOS,controls-expression-of,MMP1,true,"""2169351,2169352,2169353""","""pmid:2169351,pmid:2169352,pmid:2169353"""
153,FOS,neighbor-of,MMP1,,"""2169351,2169352,2169353""","""pmid:2169351,pmid:2169352,pmid:2169353"""
154,FOS,in-complex-with,NFAC2,,,
155,GATA3,neighbor-of,GCR,,"""15826950""","""pmid:15826950"""
156,GATA3,neighbor-of,HDAC1,,"""15826950""","""pmid:15826950"""
157,GATA3,controls-expression-of,IL13,true,"""15826950""","""pmid:15826950"""
158,GATA3,neighbor-of,IL13,,"""15826950""","""pmid:15826950"""
159,GATA3,controls-expression-of,IL5,true,"""15826950""","""pmid:15826950"""
160,GATA3,neighbor-of,IL5,,"""15826950""","""pmid:15826950"""
161,GATA3,neighbor-of,JUN,,"""15826950""","""pmid:15826950"""
162,GATA3,neighbor-of,NFAC2,,"""15826950""","""pmid:15826950"""
163,GCR,controls-expression-of,ATTY,true,"""18337589,2905764""","""pmid:18337589,pmid:2905764"""
164,GCR,controls-expression-of,BAX,true,"""11080152""","""pmid:11080152"""
165,GCR,controls-expression-of,CASB,true,"""8878484""","""pmid:8878484"""
166,GCR,controls-expression-of,CDN1A,true,"""11080152""","""pmid:11080152"""
167,GCR,controls-expression-of,COLI,true,"""2586521,8428574,9315653""","""pmid:2586521,pmid:8428574,pmid:9315653"""
168,GCR,controls-expression-of,CSF2,true,"""10958685""","""pmid:10958685"""
169,GCR,controls-expression-of,EGR1,true,"""15834420""","""pmid:15834420"""
170,GCR,controls-expression-of,FCG2A,true,"""10820245""","""pmid:10820245"""
171,GCR,controls-expression-of,FETA,true,"""1708774""","""pmid:1708774"""
172,GCR,controls-expression-of,FIBG,true,"""9388192""","""pmid:9388192"""
173,GCR,controls-expression-of,GLHA,true,"""1387550,2838908""","""pmid:1387550,pmid:2838908"""
174,GCR,neighbor-of,GLHA,,"""1387550,2838908""","""pmid:1387550,pmid:2838908"""
175,GCR,neighbor-of,HDAC1,,"""15826950""","""pmid:15826950"""
176,GCR,in-complex-with,HDAC2,,,
177,GCR,in-complex-with,HS90A,,,
178,GCR,controls-expression-of,ICAM1,true,"""10760263""","""pmid:10760263"""
179,GCR,neighbor-of,ICAM1,,"""10760263""","""pmid:10760263"""
180,GCR,controls-expression-of,IFNG,true,"""7759501""","""pmid:7759501"""
181,GCR,neighbor-of,IFNG,,"""7759501""","""pmid:7759501"""
182,GCR,controls-expression-of,IL13,true,"""15826950""","""pmid:15826950"""
183,GCR,neighbor-of,IL13,,"""15826950""","""pmid:15826950"""
184,GCR,controls-expression-of,IL2,true,"""1740658""","""pmid:1740658"""
